Wavenumber_AsDep,Intensity_AsDep,Wavenumber_UV,Intensity_UV
560.7109,0.15554,521.17462,0.5104534137217223
561.1931,0.15597,521.65675,0.5105201280303903
561.6752,0.15601,522.139,0.5083296748957912
562.1573,0.15582,522.62112,0.50453807835316
562.6394,0.15558,523.10325,0.5002461244955191
563.1216,0.15541,523.58537,0.49677698044478324
563.6037,0.15528,524.0675,0.4953759799627554
564.0858,0.15509,524.54962,0.4969215281135639
564.5679,0.15472,525.03175,0.5018472679035509
565.05,0.15413,525.514,0.509930818303823
565.5322,0.15342,525.99612,0.5205383933820343
566.0143,0.15277,526.47825,0.5328027071255008
566.4965,0.15236,526.96037,0.5457452830070919
566.9785,0.15226,527.4425,0.5583765254482324
567.4607,0.15242,527.92462,0.5698513865391275
567.9428,0.15267,528.40675,0.579458246987319
568.4249,0.15286,528.889,0.5868524161980218
568.907,0.15292,529.37112,0.5921450846856827
569.3892,0.15295,529.85325,0.5959589193312032
569.8713,0.15311,530.33537,0.5992501585588242
570.3534,0.15364,530.8175,0.6030417551014553
570.8356,0.15465,531.29962,0.607911899634219
571.3177,0.15615,531.78175,0.6137605206941132
571.7998,0.158,532.263,0.6196980941655648
572.2819,0.16004,532.74512,0.6244125719781032
572.764,0.16213,533.22725,0.6266586203699257
573.2462,0.16418,533.70937,0.6258580486659097
573.7283,0.16618,534.1915,0.6223777855637294
574.2104,0.16807,534.67362,0.6174520457737422
574.6925,0.16977,535.15575,0.6127486870126486
575.1747,0.17111,535.638,0.6097465431225888
575.6568,0.17192,536.12012,0.6092461858075789
576.1389,0.17212,536.60225,0.6111364245531721
576.621,0.17176,537.08437,0.6146166876553525
577.1031,0.17108,537.5665,0.6185083556609855
577.5853,0.17041,538.04862,0.6218885473001641
578.0674,0.17002,538.53075,0.6243236195665459
578.5496,0.17008,539.013,0.6259692391803564
579.0317,0.17059,539.49512,0.6273924777652736
579.5138,0.1714,539.97725,0.6292493593565328
579.9959,0.1723,540.45937,0.6320180031662546
580.478,0.17313,540.9415,0.6359096711718878
580.9601,0.17379,541.42362,0.6407798157046514
581.4423,0.17429,541.90575,0.646317103324095
581.9244,0.17461,542.388,0.6521101291267659
582.4066,0.17472,542.87012,0.6577586072606562
582.8887,0.17453,543.35225,0.6628400137708685
583.3708,0.17396,543.83437,0.6669985390111736
583.8529,0.17299,544.3165,0.6699562066954547
584.335,0.17175,544.79862,0.6716240644121545
584.8171,0.17044,545.28075,0.6721021836242752
585.2993,0.16935,545.763,0.6717686120809353
585.7814,0.16866,546.24512,0.6711125880457001
586.2635,0.16842,546.72725,0.6705232783191327
586.7457,0.16849,547.20937,0.6702675401359053
587.2278,0.16864,547.6915,0.6703342544445734
587.7099,0.16862,548.17362,0.6706344688335794
588.192,0.16829,548.65575,0.6710792308913659
588.6741,0.16763,549.138,0.6717686120809353
589.1562,0.16676,549.62012,0.6730028267912931
589.6384,0.16577,550.10225,0.675104327514335
590.1205,0.16471,550.58437,0.6782287809702862
590.6027,0.16353,551.0665,0.6821649251816979
591.0848,0.16211,551.54862,0.6863012123191136
591.5669,0.16037,552.03075,0.6898037135241833
592.049,0.15829,552.512,0.6919719285558933
592.5311,0.15602,552.99412,0.6924834049223477
593.0133,0.15373,553.47625,0.6915938808067746
593.4954,0.15157,553.95837,0.6900260945530767
593.9775,0.14958,554.4405,0.6886695702768274
594.4597,0.14769,554.92262,0.6882025701161515
594.9418,0.14571,555.40475,0.6888808322542761
595.4239,0.14347,555.887,0.6905375709195314
595.906,0.1409,556.36912,0.6926279525911285
596.3882,0.13797,556.85125,0.6946516199540577
596.8702,0.13473,557.33337,0.696241644310645
597.3524,0.13113,557.8155,0.6973090732493328
597.8345,0.12706,558.29762,0.6979095020273447
598.3167,0.12229,558.77975,0.6980429306446807
598.7988,0.11662,559.262,0.6975759304840048
599.2809,0.11,559.74412,0.696241644310645
599.763,0.10264,560.22625,0.6937620958384845
600.2451,0.09496,560.70837,0.6900594517074107
600.7273,0.0875,561.1905,0.6853338548434277
601.2094,0.0807,561.67262,0.6800523054072113
601.6915,0.07479,562.15475,0.674770755970995
602.1736,0.06971,562.637,0.6698672542838974
602.6558,0.0652,563.11912,0.6654752289632544
603.1379,0.06098,563.60125,0.6615057275975086
603.62,0.05688,564.08337,0.6577474882092116
604.1022,0.05293,564.5655,0.6541226774382505
604.5842,0.04928,565.04762,0.6507980810562954
605.0664,0.04603,565.52975,0.6481628658639095
605.5485,0.04314,566.012,0.6466951510732136
606.0306,0.04032,566.49412,0.6468396987419943
606.5128,0.03717,566.97625,0.6487966517962556
