Wavenumber,Intensity,Wavenumber,Intensity
cm⁻¹,a.u.,,
,As Deposited,,UV
676.903,0.58411,576.61812,0.79914
677.3851,0.58348,577.10025,0.81121
677.8672,0.58308,577.58237,0.82194
678.3493,0.58314,578.0645,0.83067
678.8314,0.58369,578.54662,0.83683
679.3136,0.58462,579.02875,0.84008
679.7957,0.5857,579.511,0.84052
680.2778,0.58668,579.99312,0.83872
680.7599,0.58746,580.47525,0.83571
681.2421,0.58804,580.95737,0.83264
681.7242,0.58855,581.4395,0.83039
682.2063,0.58911,581.92162,0.82924
682.6885,0.58971,582.40375,0.82884
683.1705,0.59026,582.886,0.8284
683.6527,0.59055,583.36812,0.82719
684.1348,0.59044,583.85025,0.8248
684.6169,0.58988,584.33237,0.82138
685.0991,0.58904,584.8145,0.81747
685.5812,0.58814,585.29662,0.81371
686.0634,0.58743,585.77875,0.81046
686.5454,0.58703,586.26,0.80767
687.0276,0.58693,586.74212,0.80496
687.5096,0.58701,587.22425,0.80194
687.9918,0.58717,587.70637,0.79849
688.4739,0.58736,588.1885,0.79489
688.9561,0.58765,588.67062,0.79168
689.4382,0.58814,589.15275,0.78924
689.9203,0.58884,589.635,0.7875
690.4025,0.58964,590.11712,0.78577
690.8845,0.59032,590.59925,0.78291
691.3667,0.59059,591.08137,0.77778
691.8488,0.59026,591.5635,0.76965
692.3309,0.58931,592.04562,0.75858
692.813,0.58794,592.52775,0.74532
693.2952,0.58643,593.01,0.73092
693.7773,0.58506,593.49212,0.71632
694.2594,0.58395,593.97425,0.70194
694.7416,0.58308,594.45637,0.68763
695.2236,0.58232,594.9385,0.67292
695.7058,0.5816,595.42062,0.6573
696.1879,0.58092,595.90275,0.64057
696.67,0.58042,596.385,0.62285
697.1522,0.5803,596.86712,0.6044
697.6343,0.58065,597.34925,0.58535
698.1165,0.58141,597.83137,0.56551
698.5985,0.58234,598.3135,0.54437
699.0807,0.58308,598.79562,0.52138
699.5628,0.58334,599.27775,0.49624
700.0449,0.58299,599.76,0.46913
700.527,0.58211,600.24212,0.44073
701.0092,0.58095,600.72425,0.412
701.4913,0.57975,601.20637,0.38379
701.9734,0.57868,601.6885,0.35666
702.4556,0.57776,602.17062,0.33079
702.9377,0.5769,602.65275,0.30608
703.4198,0.576,603.135,0.28229
703.9019,0.57503,603.61712,0.25924
704.384,0.57402,604.09925,0.23673
704.8662,0.57306,604.58137,0.21456
705.3483,0.57215,605.0635,0.19235
705.8304,0.5712,605.54562,0.16969
706.3125,0.56999,606.02775,0.14635
706.7947,0.56827,606.509,0.12253
707.2768,0.56592,606.99112,0.09894
707.7589,0.563,607.47325,0.07677
708.241,0.55977,607.95537,0.05723
708.7231,0.55656,608.4375,0.04117
709.2053,0.55364,608.91962,0.02872
709.6874,0.55106,609.40175,0.01932
710.1696,0.54867,609.884,0.01209
710.6517,0.54617,610.36612,0.00636
711.1338,0.54329,610.84825,0.00211
711.6159,0.53991,611.33037,0
712.098,0.53611,611.8125,0.001
712.5802,0.53209,612.29462,0.00582
713.0623,0.52809,612.77675,0.01431
713.5444,0.5242,613.259,0.02532
714.0265,0.52034,613.74112,0.03695
714.5087,0.51633,614.22325,0.0472
714.9908,0.51198,614.70537,0.05452
715.4729,0.5072,615.1875,0.05836
715.955,0.5021,615.66962,0.05904
716.4371,0.49685,616.15175,0.05745
716.9193,0.49166,616.634,0.05444
717.4014,0.48657,617.11612,0.0505
717.8835,0.4815,617.59825,0.04567
718.3657,0.47624,618.08037,0.03991
718.8478,0.47062,618.5625,0.03349
719.3299,0.46464,619.04462,0.02726
719.812,0.45847,619.52675,0.02262
720.2942,0.45243,620.009,0.02119
720.7762,0.44685,620.49112,0.0243
721.2584,0.44189,620.97325,0.0328
721.7405,0.43756,621.45537,0.04699
722.2227,0.43366,621.9375,0.0669
722.7048,0.42994,622.41962,0.09265
723.1869,0.42619,622.90175,0.12465
723.6691,0.42233,623.383,0.16344
724.1511,0.4184,623.86512,0.20931
724.6333,0.41444,624.34725,0.2619
725.1154,0.41049,624.82937,0.32002
725.5975,0.4065,625.3115,0.3818
726.0797,0.40236,625.79362,0.44526
726.5618,0.398,626.27575,0.50876
727.0439,0.39342,626.758,0.57126
727.526,0.38873,627.24012,0.63217
728.0082,0.38408,627.72225,0.69089
728.4902,0.37957,628.20437,0.74633
728.9724,0.37521,628.6865,0.79673
729.4545,0.37091,629.16862,0.83999
729.9366,0.36651,629.65075,0.87433
730.4188,0.36195,630.133,0.89895
730.9009,0.35724,630.61512,0.91456
731.3831,0.35256,631.09725,0.92327
731.8651,0.3481,631.57937,0.92805
732.3473,0.344,632.0615,0.93191
732.8293,0.34027,632.54362,0.93707
733.3115,0.33673,633.02575,0.94453
733.7936,0.33314,633.508,0.95402
