pixel,y_um,intensity,bg_mean,bg_std
205,2.4224,40661.5053,39705.563,15211.6848
206,2.4342,41311.022,39705.563,15211.6848
207,2.446,40059.7441,39705.563,15211.6848
208,2.4578,40139.1271,39705.563,15211.6848
209,2.4696,40744.2396,39705.563,15211.6848
210,2.4814,41194.1467,39705.563,15211.6848
211,2.4933,39780.7514,39705.563,15211.6848
212,2.5051,40523.2657,39705.563,15211.6848
213,2.5169,40311.5077,39705.563,15211.6848
214,2.5287,40206.5713,39705.563,15211.6848
215,2.5405,39722.1043,39705.563,15211.6848
216,2.5523,41119.1622,39705.563,15211.6848
217,2.5642,40288.6773,39705.563,15211.6848
218,2.576,39977.8476,39705.563,15211.6848
219,2.5878,41390.1956,39705.563,15211.6848
220,2.5996,40607.4662,39705.563,15211.6848
221,2.6114,40453.727,39705.563,15211.6848
222,2.6232,39853.4319,39705.563,15211.6848
223,2.6351,40898.8166,39705.563,15211.6848
224,2.6469,40507.5566,39705.563,15211.6848
225,2.6587,40462.7335,39705.563,15211.6848
226,2.6705,40974.22,39705.563,15211.6848
227,2.6823,40424.4034,39705.563,15211.6848
228,2.6941,40234.4287,39705.563,15211.6848
229,2.706,40261.0293,39705.563,15211.6848
230,2.7178,41375.7433,39705.563,15211.6848
231,2.7296,41550.009,39705.563,15211.6848
232,2.7414,40007.1711,39705.563,15211.6848
233,2.7532,41955.9307,39705.563,15211.6848
234,2.765,39234.2861,39705.563,15211.6848
235,2.7769,40749.8949,39705.563,15211.6848
236,2.7887,40271.7115,39705.563,15211.6848
237,2.8005,40052.8321,39705.563,15211.6848
238,2.8123,40749.6854,39705.563,15211.6848
239,2.8241,39592.0334,39705.563,15211.6848
240,2.8359,41320.4474,39705.563,15211.6848
241,2.8478,40702.1394,39705.563,15211.6848
242,2.8596,40653.965,39705.563,15211.6848
243,2.8714,41158.749,39705.563,15211.6848
244,2.8832,39896.1606,39705.563,15211.6848
245,2.895,40318.6292,39705.563,15211.6848
246,2.9068,40877.0334,39705.563,15211.6848
247,2.9187,40788.2249,39705.563,15211.6848
248,2.9305,40931.7009,39705.563,15211.6848
249,2.9423,40079.4328,39705.563,15211.6848
250,2.9541,41078.7376,39705.563,15211.6848
251,2.9659,41091.7237,39705.563,15211.6848
252,2.9777,40951.1801,39705.563,15211.6848
253,2.9896,40675.7482,39705.563,15211.6848
254,3.0014,40254.1174,39705.563,15211.6848
255,3.0132,41843.035,39705.563,15211.6848
256,3.025,41432.2958,39705.563,15211.6848
257,3.0368,41648.6618,39705.563,15211.6848
258,3.0486,40469.6455,39705.563,15211.6848
259,3.0604,41038.313,39705.563,15211.6848
260,3.0723,41110.784,39705.563,15211.6848
261,3.0841,40945.5249,39705.563,15211.6848
262,3.0959,41497.6455,39705.563,15211.6848
263,3.1077,41153.9315,39705.563,15211.6848
264,3.1195,40652.4988,39705.563,15211.6848
265,3.1313,40815.2445,39705.563,15211.6848
266,3.1432,40237.1516,39705.563,15211.6848
267,3.155,41163.1475,39705.563,15211.6848
268,3.1668,40197.5648,39705.563,15211.6848
269,3.1786,39355.9788,39705.563,15211.6848
270,3.1904,41569.6976,39705.563,15211.6848
271,3.2022,40869.2836,39705.563,15211.6848
272,3.2141,40555.3121,39705.563,15211.6848
273,3.2259,40683.498,39705.563,15211.6848
274,3.2377,40413.7213,39705.563,15211.6848
275,3.2495,40087.392,39705.563,15211.6848
276,3.2613,40509.2323,39705.563,15211.6848
277,3.2731,41105.9666,39705.563,15211.6848
278,3.285,41456.383,39705.563,15211.6848
279,3.2968,40342.9258,39705.563,15211.6848
280,3.3086,40646.6341,39705.563,15211.6848
281,3.3204,40628.8305,39705.563,15211.6848
282,3.3322,40795.1369,39705.563,15211.6848
283,3.344,39640.2078,39705.563,15211.6848
284,3.3559,40031.6773,39705.563,15211.6848
285,3.3677,40910.546,39705.563,15211.6848
286,3.3795,39996.9079,39705.563,15211.6848
287,3.3913,41106.5949,39705.563,15211.6848
288,3.4031,40859.6487,39705.563,15211.6848
289,3.4149,40502.1108,39705.563,15211.6848
290,3.4268,40219.348,39705.563,15211.6848
291,3.4386,40085.9258,39705.563,15211.6848
292,3.4504,40072.7302,39705.563,15211.6848
293,3.4622,40329.3113,39705.563,15211.6848
294,3.474,40966.0513,39705.563,15211.6848
295,3.4858,39537.9943,39705.563,15211.6848
296,3.4977,40319.2575,39705.563,15211.6848
297,3.5095,40156.0929,39705.563,15211.6848
298,3.5213,40352.7702,39705.563,15211.6848
299,3.5331,40314.859,39705.563,15211.6848
300,3.5449,40386.2828,39705.563,15211.6848
301,3.5567,40222.6993,39705.563,15211.6848
302,3.5686,40892.9519,39705.563,15211.6848
303,3.5804,39924.2274,39705.563,15211.6848
304,3.5922,39956.9022,39705.563,15211.6848
305,3.604,39908.0994,39705.563,15211.6848
306,3.6158,40535.2046,39705.563,15211.6848
307,3.6276,39800.6496,39705.563,15211.6848
308,3.6395,39593.709,39705.563,15211.6848
309,3.6513,39769.6504,39705.563,15211.6848
310,3.6631,40377.0668,39705.563,15211.6848
311,3.6749,39825.784,39705.563,15211.6848
312,3.6867,40144.5729,39705.563,15211.6848
313,3.6985,40066.0277,39705.563,15211.6848
314,3.7104,39875.0057,39705.563,15211.6848
315,3.7222,39925.4841,39705.563,15211.6848
316,3.734,39686.9161,39705.563,15211.6848
317,3.7458,39845.4727,39705.563,15211.6848
318,3.7576,41047.11,39705.563,15211.6848
319,3.7694,40833.2575,39705.563,15211.6848
320,3.7813,38773.0685,39705.563,15211.6848
321,3.7931,40358.4254,39705.563,15211.6848
322,3.8049,39779.2852,39705.563,15211.6848
323,3.8167,39209.9894,39705.563,15211.6848
324,3.8285,39187.7873,39705.563,15211.6848
325,3.8403,40284.0693,39705.563,15211.6848
326,3.8521,39262.9813,39705.563,15211.6848
327,3.864,40339.5746,39705.563,15211.6848
328,3.8758,39373.3635,39705.563,15211.6848
329,3.8876,39398.7074,39705.563,15211.6848
330,3.8994,39705.1385,39705.563,15211.6848
331,3.9112,40102.8916,39705.563,15211.6848
332,3.923,39286.2306,39705.563,15211.6848
333,3.9349,39209.5705,39705.563,15211.6848
334,3.9467,39579.6756,39705.563,15211.6848
335,3.9585,39055.6218,39705.563,15211.6848
336,3.9703,37886.8688,39705.563,15211.6848
337,3.9821,40690.8289,39705.563,15211.6848
338,3.9939,39735.2999,39705.563,15211.6848
339,4.0058,39420.7001,39705.563,15211.6848
340,4.0176,39273.2445,39705.563,15211.6848
341,4.0294,40061.8386,39705.563,15211.6848
342,4.0412,39701.3684,39705.563,15211.6848
343,4.053,38699.7596,39705.563,15211.6848
344,4.0648,39603.7628,39705.563,15211.6848
345,4.0767,39785.9878,39705.563,15211.6848
346,4.0885,38905.8623,39705.563,15211.6848
347,4.1003,40059.5346,39705.563,15211.6848
348,4.1121,39142.7547,39705.563,15211.6848
349,4.1239,38742.4882,39705.563,15211.6848
350,4.1357,39256.0693,39705.563,15211.6848
351,4.1476,39773.8394,39705.563,15211.6848
352,4.1594,39387.3969,39705.563,15211.6848
353,4.1712,39358.9112,39705.563,15211.6848
354,4.183,39042.4262,39705.563,15211.6848
355,4.1948,39128.3024,39705.563,15211.6848
356,4.2066,38878.4238,39705.563,15211.6848
357,4.2185,39782.4271,39705.563,15211.6848
358,4.2303,39183.3888,39705.563,15211.6848
359,4.2421,39769.022,39705.563,15211.6848
360,4.2539,39182.132,39705.563,15211.6848
361,4.2657,38871.7213,39705.563,15211.6848
362,4.2775,38030.1353,39705.563,15211.6848
363,4.2894,39150.295,39705.563,15211.6848
364,4.3012,39656.7547,39705.563,15211.6848
365,4.313,39613.6072,39705.563,15211.6848
366,4.3248,39057.2975,39705.563,15211.6848
367,4.3366,38765.3187,39705.563,15211.6848
368,4.3484,39814.4735,39705.563,15211.6848
369,4.3603,39039.7033,39705.563,15211.6848
370,4.3721,39649.4238,39705.563,15211.6848
371,4.3839,39585.5403,39705.563,15211.6848
372,4.3957,39998.793,39705.563,15211.6848
373,4.4075,39459.2396,39705.563,15211.6848
374,4.4193,39461.7531,39705.563,15211.6848
375,4.4312,39026.7172,39705.563,15211.6848
376,4.443,40018.4817,39705.563,15211.6848
377,4.4548,39534.643,39705.563,15211.6848
378,4.4666,39129.5591,39705.563,15211.6848
379,4.4784,40101.216,39705.563,15211.6848
380,4.4902,39659.2681,39705.563,15211.6848
381,4.5021,40214.5306,39705.563,15211.6848
382,4.5139,38697.4556,39705.563,15211.6848
383,4.5257,39371.8973,39705.563,15211.6848
384,4.5375,40199.031,39705.563,15211.6848
385,4.5493,39764.2046,39705.563,15211.6848
386,4.5611,40400.9446,39705.563,15211.6848
387,4.5729,39571.088,39705.563,15211.6848
388,4.5848,39885.8973,39705.563,15211.6848
389,4.5966,39676.6528,39705.563,15211.6848
390,4.6084,39590.3578,39705.563,15211.6848
391,4.6202,39462.172,39705.563,15211.6848
392,4.632,39700.74,39705.563,15211.6848
393,4.6438,39927.5786,39705.563,15211.6848
394,4.6557,40319.8859,39705.563,15211.6848
395,4.6675,39644.3969,39705.563,15211.6848
396,4.6793,40088.0204,39705.563,15211.6848
397,4.6911,39320.7905,39705.563,15211.6848
