Position_pixels,Intensity
387,40323.2823
388,40496.0345
389,40377.9103
390,40735.4755
391,40773.7861
392,39951.528
393,40604.049
394,39952.5921
395,40037.9041
396,40607.4189
397,40893.5066
398,40833.9124
399,40826.6404
400,40699.1159
401,40178.5535
402,40269.3637
403,39950.109
404,39442.3168
405,40443.1801
406,39991.2574
407,39686.9013
408,40234.4231
409,40255.1746
410,40602.8075
411,40272.2015
412,40679.4286
413,40631.0083
414,40777.8654
415,40320.0897
416,40560.9496
417,39314.6149
418,40179.0856
419,40342.4375
420,41006.6646
421,40210.479
422,41058.4548
423,40586.8447
424,40012.3637
425,40620.1891
426,40915.8544
427,40641.118
428,40495.1477
429,40510.401
430,39938.0483
431,40621.9627
432,40079.4072
433,39657.6363
434,40346.3395
435,40801.9869
436,40490.3589
437,40413.0283
438,40308.5611
439,40556.6929
440,40253.0462
441,40215.0904
442,40343.5017
443,40035.5983
444,39808.5728
445,40591.4562
446,40920.9979
447,40420.6549
448,40725.7205
449,41091.6218
450,40392.0994
451,40671.8019
452,40867.4341
453,40360.5286
454,40334.9883
455,40022.2961
456,40315.833
457,40418.1718
458,40196.2899
459,40653.1787
460,40600.3244
461,40771.303
462,40499.5818
463,40539.4886
464,40493.5514
465,40676.9455
466,40308.2063
467,40512.352
468,40952.5687
469,40691.4893
470,40436.0856
471,39605.8461
472,40532.3941
473,40472.4451
474,40975.8033
475,39836.951
476,40938.2022
477,40448.3237
478,40736.3623
479,40672.334
480,41084.3499
481,40278.764
482,40670.7378
483,40903.2616
484,40675.8813
485,40858.7433
486,40461.4486
487,40786.3789
488,40351.3057
489,40649.6315
490,40640.9406
491,40735.6529
492,41253.7322
493,40680.8475
494,40452.5804
495,39717.5852
496,40771.8351
497,40800.2133
498,39993.3858
499,40327.1843
500,40553.323
501,40850.5845
502,41036.4617
503,40666.8357
504,39610.2802
505,40439.1008
506,40497.9855
507,40232.6494
508,40285.1491
509,40696.9876
510,40148.4017
511,40436.6177
512,40295.9683
513,39885.5487
514,40180.3271
515,40672.1567
516,40623.9137
517,40088.9848
518,40102.1097
519,41205.3119
520,40887.4762
521,40609.7246
522,40258.0124
523,41067.5003
524,40634.3782
525,40788.5072
526,40319.5576
527,40388.3747
528,40215.6225
529,40206.5769
530,39923.1498
531,40032.4058
532,40612.0304
533,40310.5121
534,40638.4576
535,40891.5556
536,40642.8916
537,39881.2919
538,40269.1863
539,40710.8219
540,40741.1511
541,40373.4762
542,40333.2146
543,40296.5003
544,40361.5928
545,40648.922
546,39948.3354
547,40186.8896
548,40916.2091
549,41426.1297
550,40721.6411
551,39993.7405
552,40246.4838
553,40647.1484
554,40727.4941
555,40888.0083
556,40390.5031
557,39720.7778
558,40524.5901
559,40028.3264
560,40831.9614
561,40162.9455
