Name		O 1s	O 1s	O 1s	O 1s				Name		C 1s	C 1s	C 1s	C 1s				Name		Al 2p				
Position		532.06	530.94	533.62	535.80				Position		284.77	286.92	288.75	286.16				Position		74.63				
FWHM		1.73	1.73	1.73	1.73				FWHM		1.52	1.52	1.52	1.52				FWHM		1.59				
Area		20742.57	8347.78	1085.05	352.30				Area		11646.97	4987.10	443.23	2603.66				Area		2382.79				
Lineshape		GL(30)	GL(30)	GL(30)	GL(30)				Lineshape		GL(30)	GL(30)	GL(30)	GL(30)				Lineshape		GL(30)				

B.E.	Cycle 14:O 1s/43:CPS	O 1s/43:O 1s	O 1s/43:O 1s	O 1s/43:O 1s	O 1s/43:O 1s	Background	Envelope		B.E.	Cycle 14:C 1s/44:CPS	C 1s/44:C 1s	C 1s/44:C 1s	C 1s/44:C 1s	C 1s/44:C 1s	Background	Envelope		B.E.	Cycle 14:Al 2p/45:CPS	Al 2p/45:Al 2p	Background	Envelope		
5.434000e+002	1.658371e+003	1.658371e+003	1.658371e+003	1.658371e+003	1.658371e+003	1.658371e+003	1.658371e+003		3.004000e+002	1.016558e+003	1.016558e+003	1.016558e+003	1.016558e+003	1.016558e+003	1.016558e+003	1.016558e+003		8.640000e+001	1.700168e+002	1.700168e+002	1.700168e+002	1.700168e+002		
5.433000e+002	1.687029e+003	1.687029e+003	1.687029e+003	1.687029e+003	1.687029e+003	1.687029e+003	1.687029e+003		3.003000e+002	9.876781e+002	9.876781e+002	9.876781e+002	9.876781e+002	9.876781e+002	9.876781e+002	9.876781e+002		8.630000e+001	1.871859e+002	1.871859e+002	1.871859e+002	1.871859e+002		
5.432000e+002	1.644042e+003	1.644042e+003	1.644042e+003	1.644042e+003	1.644042e+003	1.644042e+003	1.644042e+003		3.002000e+002	9.870363e+002	9.870363e+002	9.870363e+002	9.870363e+002	9.870363e+002	9.870363e+002	9.870363e+002		8.620000e+001	1.783920e+002	1.783920e+002	1.783920e+002	1.783920e+002		
5.431000e+002	1.594268e+003	1.594268e+003	1.594268e+003	1.594268e+003	1.594268e+003	1.594268e+003	1.594268e+003		3.001000e+002	1.028751e+003	1.028751e+003	1.028751e+003	1.028751e+003	1.028751e+003	1.028751e+003	1.028751e+003		8.610000e+001	1.620603e+002	1.620603e+002	1.620603e+002	1.620603e+002		
5.430000e+002	1.619155e+003	1.619155e+003	1.619155e+003	1.619155e+003	1.619155e+003	1.619155e+003	1.619155e+003		3.000000e+002	1.037094e+003	1.037094e+003	1.037094e+003	1.037094e+003	1.037094e+003	1.037094e+003	1.037094e+003		8.600000e+001	1.733668e+002	1.733668e+002	1.733668e+002	1.733668e+002		
5.429000e+002	1.596531e+003	1.596531e+003	1.596531e+003	1.596531e+003	1.596531e+003	1.596531e+003	1.596531e+003		2.999000e+002	9.985881e+002	9.985881e+002	9.985881e+002	9.985881e+002	9.985881e+002	9.985881e+002	9.985881e+002		8.590000e+001	1.775544e+002	1.775544e+002	1.775544e+002	1.775544e+002		
5.428000e+002	1.581448e+003	1.581448e+003	1.581448e+003	1.581448e+003	1.581448e+003	1.581448e+003	1.581448e+003		2.998000e+002	9.536645e+002	9.536645e+002	9.536645e+002	9.536645e+002	9.536645e+002	9.536645e+002	9.536645e+002		8.580000e+001	1.700168e+002	1.700168e+002	1.700168e+002	1.700168e+002		
5.427000e+002	1.564103e+003	1.564103e+003	1.564103e+003	1.564103e+003	1.564103e+003	1.564103e+003	1.564103e+003		2.997000e+002	9.883199e+002	9.883199e+002	9.883199e+002	9.883199e+002	9.883199e+002	9.883199e+002	9.883199e+002		8.570000e+001	1.896985e+002	1.896985e+002	1.896985e+002	1.896985e+002		
5.426000e+002	1.566365e+003	1.566365e+003	1.566365e+003	1.566365e+003	1.566365e+003	1.566365e+003	1.566365e+003		2.996000e+002	9.928122e+002	9.928122e+002	9.928122e+002	9.928122e+002	9.928122e+002	9.928122e+002	9.928122e+002		8.560000e+001	1.762982e+002	1.762982e+002	1.762982e+002	1.762982e+002		
5.425000e+002	1.592760e+003	1.592760e+003	1.592760e+003	1.592760e+003	1.592760e+003	1.592760e+003	1.592760e+003		2.995000e+002	9.684251e+002	9.684251e+002	9.684251e+002	9.684251e+002	9.684251e+002	9.684251e+002	9.684251e+002		8.550000e+001	1.670854e+002	1.670854e+002	1.670854e+002	1.670854e+002		
5.424000e+002	1.577677e+003	1.577677e+003	1.577677e+003	1.577677e+003	1.577677e+003	1.577677e+003	1.577677e+003		2.994000e+002	1.002439e+003	1.002439e+003	1.002439e+003	1.002439e+003	1.002439e+003	1.002439e+003	1.002439e+003		8.540000e+001	1.733668e+002	1.733668e+002	1.733668e+002	1.733668e+002		
