Name		O 1s	O 1s	O 1s				Name		C 1s	C 1s	C 1s	C 1s	C 1s				
Position		530.65	531.93	532.95				Position		284.71	289.11	290.48	285.93	287.20				
FWHM		1.88	1.88	1.88				FWHM		1.61	1.61	1.61	1.61	1.61				
Area		21507.22	34171.49	4553.06				Area		4057.69	435.18	705.72	1346.64	684.13				
Lineshape		GL(30)	GL(30)	GL(30)				Lineshape		GL(30)	GL(30)	GL(30)	GL(30)	GL(30)				

B.E.	Cycle 15:O 1s/48:CPS	O 1s/48:O 1s	O 1s/48:O 1s	O 1s/48:O 1s	Background	Envelope		B.E.	Cycle 15:C 1s/49:CPS	C 1s/49:C 1s	C 1s/49:C 1s	C 1s/49:C 1s	C 1s/49:C 1s	C 1s/49:C 1s	Background	Envelope		
5.415600e+002	1.637255e+003	1.637255e+003	1.637255e+003	1.637255e+003	1.637255e+003	1.637255e+003		2.985600e+002	8.285201e+002	8.285201e+002	8.285201e+002	8.285201e+002	8.285201e+002	8.285201e+002	8.285201e+002	8.285201e+002		
5.414600e+002	1.632730e+003	1.632730e+003	1.632730e+003	1.632730e+003	1.632730e+003	1.632730e+003		2.984600e+002	7.405981e+002	7.405981e+002	7.405981e+002	7.405981e+002	7.405981e+002	7.405981e+002	7.405981e+002	7.405981e+002		
5.413600e+002	1.604072e+003	1.604072e+003	1.604072e+003	1.604072e+003	1.604072e+003	1.604072e+003		2.983600e+002	7.919394e+002	7.919394e+002	7.919394e+002	7.919394e+002	7.919394e+002	7.919394e+002	7.919394e+002	7.919394e+002		
5.412600e+002	1.668929e+003	1.668929e+003	1.668929e+003	1.668929e+003	1.668929e+003	1.668929e+003		2.982600e+002	7.791041e+002	7.791041e+002	7.791041e+002	7.791041e+002	7.791041e+002	7.791041e+002	7.791041e+002	7.791041e+002		
5.411600e+002	1.583710e+003	1.583710e+003	1.583710e+003	1.583710e+003	1.583710e+003	1.583710e+003		2.981600e+002	7.835965e+002	7.835965e+002	7.835965e+002	7.835965e+002	7.835965e+002	7.835965e+002	7.835965e+002	7.835965e+002		
5.410600e+002	1.530166e+003	1.530166e+003	1.530166e+003	1.530166e+003	1.530166e+003	1.530166e+003		2.980600e+002	7.765370e+002	7.765370e+002	7.765370e+002	7.765370e+002	7.765370e+002	7.765370e+002	7.765370e+002	7.765370e+002		
5.409600e+002	1.590498e+003	1.590498e+003	1.590498e+003	1.590498e+003	1.590498e+003	1.590498e+003		2.979600e+002	7.803876e+002	7.803876e+002	7.803876e+002	7.803876e+002	7.803876e+002	7.803876e+002	7.803876e+002	7.803876e+002		
5.408600e+002	1.539970e+003	1.539970e+003	1.539970e+003	1.539970e+003	1.539970e+003	1.539970e+003		2.978600e+002	7.758953e+002	7.758953e+002	7.758953e+002	7.758953e+002	7.758953e+002	7.758953e+002	7.758953e+002	7.758953e+002		
5.407600e+002	1.472851e+003	1.472851e+003	1.472851e+003	1.472851e+003	1.472851e+003	1.472851e+003		2.977600e+002	7.765370e+002	7.765370e+002	7.765370e+002	7.765370e+002	7.765370e+002	7.765370e+002	7.765370e+002	7.765370e+002		
5.406600e+002	1.478884e+003	1.478884e+003	1.478884e+003	1.478884e+003	1.478884e+003	1.478884e+003		2.976600e+002	7.778206e+002	7.778206e+002	7.778206e+002	7.778206e+002	7.778206e+002	7.778206e+002	7.778206e+002	7.778206e+002		
